"time" "cumhaz"
"171" 205 0.285662609160471
"172" 208 0.287666617176503
"173" 209 0.289678689611111
"174" 210 0.291698891631313
"177" 211 0.297775872193187
"180" 215 0.303869310409516
"181" 216 0.305905970287317
"182" 217 0.307955150615186
"184" 218 0.312061926795884
"186" 219 0.316181395634711
"189" 221 0.322401238045265
"190" 222 0.32449328825447
"192" 223 0.328690564649305
"193" 224 0.330804729554167
"196" 226 0.337183268009247
"197" 227 0.339320020145999
"198" 230 0.341447679720467
"199" 231 0.343575339294935
"201" 234 0.347848863080108
"202" 237 0.350008690293931
"203" 242 0.352182603337409
"205" 245 0.356549436382322
"206" 246 0.358737620189762
"207" 247 0.360930602645902
"208" 249 0.363138108164666
"209" 250 0.365355403064888
"210" 251 0.367592539530212
"212" 252 0.372071828461904
"213" 256 0.374313980928272
"214" 257 0.376566233180524
"215" 258 0.37881342419176
"216" 259 0.381065676444012
"218" 260 0.385590586483273
"220" 263 0.390130887452145
"221" 264 0.392403614724872
"224" 266 0.399247729098552
"225" 270 0.401541307080204
"226" 271 0.403840157654916
"227" 273 0.406149626477087
"228" 274 0.408459095299258
"229" 281 0.410779280914107
"231" 287 0.415463352875494
"232" 288 0.417821843441532
"234" 292 0.422566862016338
"235" 295 0.424953496861206
"238" 296 0.432147769047432
"239" 297 0.434557407601649
"241" 298 0.439388325476045
"242" 301 0.441809632982099
"244" 309 0.446693819905121
"245" 313 0.449175209483284
"246" 318 0.451656599061448
"247" 319 0.454144161250503
"248" 321 0.456637926836538
"249" 324 0.459144192500698
"250" 325 0.461656755314769
"251" 328 0.464201284576855
"252" 329 0.466758829333888
"253" 331 0.469316374090922
"254" 333 0.471867394499085
"255" 334 0.474424939256118
"256" 335 0.476995633343522
"257" 337 0.479546653751685
"258" 339 0.482104198508718
"259" 346 0.484655218916881
"260" 349 0.487239198245047
"261" 351 0.489823177573212
"262" 353 0.492407156901378
"263" 355 0.49500455949878
"265" 357 0.500219692222888
"266" 360 0.502837493270008
"267" 366 0.505469072217377
"268" 370 0.508100651164745
"269" 373 0.510746153810248
"270" 383 0.513419950601692
"271" 384 0.516100915749145
"272" 392 0.518781880896598
"273" 395 0.521462846044051
"274" 397 0.524172873144322
"276" 398 0.529607655753018
"278" 399 0.535079704140597
"279" 400 0.537842135079824
"280" 401 0.540596956016463
"281" 404 0.543374733794241
"282" 407 0.546152511572019
"283" 408 0.548945807661404
"284" 413 0.551746928109583
"285" 414 0.554555916873628
"286" 415 0.557380775630691
"287" 416 0.560213636820492
"288" 420 0.563054545911401
"289" 421 0.565903548760404
"290" 422 0.568760691617547
"291" 424 0.571626021130441
"292" 428 0.574483163987584
"293" 430 0.577356727205975
"294" 437 0.580272179101018
"295" 441 0.583196155709206
"296" 453 0.586128707028854
"297" 455 0.589078559536228
"298" 457 0.592045918586673
"299" 476 0.595022109062864
"300" 477 0.597998299539054
"301" 488 0.601001302542057
"303" 503 0.607062131222633
"304" 510 0.610120235198169
"305" 511 0.613187719860745
"306" 512 0.616264642937668
"307" 513 0.619351062690755
"308" 516 0.622456652752867
"309" 518 0.625562242814978
"310" 520 0.628677507612486
"311" 527 0.631822161700536
"312" 528 0.634976735833028
"313" 555 0.638171624011942
"314" 559 0.641407869966635
"316" 565 0.647880429665001
"317" 566 0.651106236116614
"318" 572 0.654352989363367
"319" 573 0.657620963219576
"320" 578 0.660888937075785
"321" 601 0.664189267108789
"322" 616 0.667500525386934
"323" 619 0.67081178366508
"324" 627 0.674145116998413
"325" 629 0.677489598603765
"326" 648 0.680879429112239
"327" 649 0.684269259620714
"330" 665 0.694531865310277
"331" 684 0.698004087532499
"332" 748 0.70158831692318
"333" 752 0.705198425226429
"334" 754 0.708795547528587
"335" 756 0.712405655831837
"336" 758 0.716028844237634
"337" 769 0.719691847900637
"338" 771 0.723354851563641
"339" 772 0.727004486600137
"340" 783 0.730708190303841
"341" 801 0.73439822720421
"342" 810 0.738101930907914
"343" 813 0.741819403026873
"344" 820 0.745564721378933
"345" 822 0.749310039730993
"346" 827 0.753126833624122
"347" 830 0.756943627517252
"348" 833 0.760775045141773
"349" 844 0.764606462766294
"350" 869 0.768452616612448
"351" 883 0.772358866612448
"352" 898 0.776234835604696
"353" 899 0.780110804596944
"354" 902 0.784001855180602
"355" 904 0.787938863054618
"356" 905 0.791891432224578
"358" 906 0.799843749937852
"359" 926 0.80385981419488
"360" 943 0.807908397190832
"361" 946 0.811973437841238
"362" 947 0.816055070494299
"363" 948 0.820136703147361
"364" 971 0.824251929484809
"365" 973 0.828384160889768
"366" 981 0.832568261308178
"367" 986 0.836787670590878
"368" 1008 0.841007079873578
"369" 1037 0.845280584147083
"370" 1043 0.849554088420587
"371" 1066 0.853883092749591
"372" 1077 0.858230918836548
"373" 1092 0.862597731063622
"374" 1116 0.866926735392626
"375" 1120 0.871274561479583
"376" 1132 0.875699340240645
"377" 1135 0.880143784685089
"378" 1146 0.884628089617825
"379" 1154 0.889173544163279
"380" 1168 0.893781839094155
"381" 1177 0.898368995057457
"382" 1179 0.90295615102076
"383" 1200 0.907607313811458
"384" 1222 0.912392002806673
"385" 1239 0.917153907568578
"386" 1248 0.92196159987627
"387" 1270 0.926723504638175
"388" 1281 0.931601553418663
"389" 1309 0.936601553418663
"390" 1312 0.941677695550643
"392" 1313 0.951855878498949
"393" 1338 0.956906383549454
"394" 1353 0.962061022724712
"395" 1361 0.967269356058045
"396" 1388 0.972532513952782
"397" 1393 0.977795671847519
"398" 1410 0.983114820783689
"399" 1441 0.988405826074694
"400" 1469 0.993870306949011
"401" 1498 0.999334787823328
"402" 1511 1.00489034337888
"403" 1535 1.0105721615607
"404" 1537 1.01631928799748
"405" 1561 1.0220011061793
"406" 1572 1.02778145300011
"407" 1585 1.03359540648848
"409" 1591 1.04536051946817
"410" 1618 1.05142112552878
"411" 1623 1.05751868650439
"412" 1635 1.06365365582954
"413" 1646 1.06986483595376
"414" 1656 1.07607601607799
"415" 1661 1.08236532425409
"417" 1693 1.09506386492973
"418" 1706 1.10164281229815
"419" 1709 1.10830947896482
"420" 1722 1.11497614563148
"421" 1737 1.12155509299991
"422" 1741 1.12822175966657
"423" 1755 1.13507107473507
"424" 1758 1.14192038980356
"425" 1789 1.1488169415277
"426" 1791 1.15585919504882
